assetId,ticker,name,assetClass,region,sourceSymbol,provider,listingExchange,listingCurrency,exposureCurrency,returnCurrency,fxTreatment,isCurrencyHedged,isin,domicile,category,distributionPolicy,replicationMethod,inceptionDate,aum,terAnnual,terAsOf,terSource,proxyAssetId,proxySpliceDate,proxyMethod,proxyRationale
EMLC,EMLC,VanEck J.P. Morgan EM Local Currency Bond ETF,bond,us,EMLC,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2010-07-23,4830,,,,PREMX,2010-07-23,asset-class-proxy,"PREMX (T. Rowe Price Emerging Markets Bond Fund) extends EMLC's history back to 1994-12-30; return series match exactly (correlation 1.0000) over the overlapping period, confirming PREMX was the source."
EMXC,EMXC,iShares MSCI Emerging Markets ex China ETF,equity,emerging-markets,EMXC,yahoo-finance-chart-api,NasdaqGM,USD,USD,USD,unhedged,False,,,,,,2017-07-26,,,,,,,,
EPHE,EPHE,iShares MSCI Philippines ETF,equity,us,EPHE,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2010-09-29,,,,,,,,
ETH,ETH,Grayscale Ethereum Mini Trust ETF,crypto,us,ETH,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2024-07-23,1363,,,,,,,
ETHA,ETHA,iShares Ethereum Trust ETF,crypto,us,ETHA,yahoo-finance-chart-api,NasdaqGM,USD,USD,USD,unhedged,False,,,,,,2024-07-23,,,,,,,,
EWH,EWH,iShares MSCI Hong Kong ETF,equity,us,EWH,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,1996-03-18,,,,,,,,
EWJ,EWJ,iShares MSCI Japan Index Fund,equity,us,EWJ,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,1996-03-18,,,,,,,,
EWL,EWL,iShares MSCI Switzerland ETF,equity,us,EWL,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,1996-03-18,8340,,,,,,,
EWS,EWS,iShares MSCI Singapore ETF,equity,us,EWS,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,1996-03-18,,,,,,,,
EWT,EWT,iShares MSCI Taiwan ETF,equity,us,EWT,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2000-06-23,,,,,,,,
EWW,EWW,iShares MSCI Mexico ETF,equity,us,EWW,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,1996-03-18,,,,,,,,
EWY,EWY,iShares MSCI South Korea ETF,equity,us,EWY,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2000-05-12,,,,,,,,
EWZ,EWZ,iShares MSCI Brazil ETF,equity,us,EWZ,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2000-07-14,,,,,,,,
EZA,EZA,iShares MSCI South Africa ETF,equity,us,EZA,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2003-02-07,,,,,,,,
EZBC,EZBC,Franklin Bitcoin ETF,crypto,us,EZBC,yahoo-finance-chart-api,Cboe US,USD,USD,USD,unhedged,False,,,,,,2024-01-11,,,,,,,,
EZU,EZU,iShares MSCI Eurozone ETF,equity,us,EZU,yahoo-finance-chart-api,Cboe US,USD,USD,USD,unhedged,False,,,,,,2000-07-31,155330,,,,,,,
FALN,FALN,iShares Fallen Angels USD Bond ETF,bond,us,FALN,yahoo-finance-chart-api,NasdaqGM,USD,USD,USD,unhedged,False,,,,,,2016-06-21,,,,,,,,
FBTC,FBTC,Fidelity Wise Origin Bitcoin Fund,crypto,us,FBTC,yahoo-finance-chart-api,Cboe US,USD,USD,USD,unhedged,False,,,,,,2024-01-11,,,,,,,,
FETH,FETH,Fidelity Ethereum Fund,crypto,us,FETH,yahoo-finance-chart-api,Cboe US,USD,USD,USD,unhedged,False,,,,,,2024-07-23,,,,,,,,
FLIN,FLIN,Franklin FTSE India ETF,equity,us,FLIN,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2018-02-08,,,,,,,,
FTGC,FTGC,First Trust Global Tactical Commodity Strategy Fund,commodity,global,FTGC,yahoo-finance-chart-api,NasdaqGM,USD,USD,USD,unhedged,False,,,,,,2013-10-23,2740,,,,,,,
FTLS,FTLS,First Trust Long/Short Equity ETF,alternative,us,FTLS,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2014-09-09,2412,,,,,,,
