ticker,longName
VB,Vanguard Morningstar Small-Cap ETF
VBMFX,Vanguard Total Bond Market Index Fund
VBR,Vanguard Morningstar Small-Cap Value ETF
VCIT,Vanguard Intermediate-Term Corporate Bond Index Fund ETF Shares
VCLT,Vanguard Long-Term Corporate Bond Index Fund ETF Shares
VCSH,Vanguard Short-Term Corporate Bond Index Fund ETF Shares
VEA,Vanguard FTSE Developed Markets Index Fund ETF Shares
VEIEX,Vanguard Emerging Markets Stock Index Fund
VEU,Vanguard FTSE All-World ex-US Index Fund ETF Shares
VFINX,Vanguard 500 Index Fund
VGIT,Vanguard Intermediate-Term Treasury Index Fund ETF Shares
VGK,Vanguard FTSE Europe ETF
VGLT,Vanguard Long-Term Treasury Index Fund ETF Shares
VGSH,Vanguard Short-Term Treasury Index Fund ETF Shares
VGSIX,Vanguard Real Estate Index Investor
VGT,Vanguard Information Technology Index Fund ETF Shares
VGTSX,Vanguard Total Intl Stock Index Inv
VIG,Vanguard Dividend Appreciation Index Fund ETF Shares
VLUE,iShares MSCI USA Value Factor ETF
VMBS,Vanguard Mortgage-Backed Securities Index Fund ETF Shares
VNQ,Vanguard Real Estate Index Fund ETF Shares
VNQI,Vanguard Global ex-U.S. Real Estate Index Fund ETF Shares
VOO,Vanguard S&P 500 ETF
VPL,Vanguard FTSE Pacific Index Fund ETF Shares
VT,Vanguard Total World Stock Index Fund ETF Shares
VTEB,Vanguard Tax-Exempt Bond Index Fund ETF Shares
VTI,Vanguard Morningstar Total Stock Market ETF
VTSMX,Vanguard Morn Total Stk Mkt Idx Investor
VTV,Vanguard Morningstar Value ETF
VTWO,Vanguard Russell 2000 Index Fund ETF Shares
VUG,Vanguard Morningstar Growth ETF
VWEHX,Vanguard High-Yield Corporate Inv
VWO,Vanguard Emerging Markets Stock Index Fund
VWOB,Vanguard Emerging Markets Government Bond Index Fund
VWRA.L,Vanguard FTSE All-World UCITS ETF
VXUS,Vanguard Total International Stock Index Fund ETF Shares
VYM,Vanguard High Dividend Yield ET
WTMF,WisdomTree Managed Futures Strategy Fund
XLRE,State Street Real Estate Select Sector SPDR ETF
