ticker,currency,exchange,instrument_type,first_date,last_date,row_count,injection_date,source
VAGF.DE,EUR,XETRA,ETF,2019-06-18,2026-08-11,1818,2026-07-25,yahoo-finance-chart-api
VB,USD,NYSEArca,ETF,2004-01-30,2026-08-11,5668,2026-07-25,yahoo-finance-chart-api
VBMFX,USD,Nasdaq,MUTUALFUND,1986-12-11,2026-08-10,9990,2026-07-25,yahoo-finance-chart-api
VBR,USD,NYSEArca,ETF,2004-01-30,2026-08-11,5668,2026-07-25,yahoo-finance-chart-api
VCIT,USD,NasdaqGM,ETF,2009-11-23,2026-08-11,4203,2026-07-25,yahoo-finance-chart-api
VEA,USD,NYSEArca,ETF,2007-07-26,2026-08-11,4791,2026-07-25,yahoo-finance-chart-api
VEIEX,USD,Nasdaq,MUTUALFUND,1994-05-04,2026-08-10,8121,2026-07-25,yahoo-finance-chart-api
VEU,USD,NYSEArca,ETF,2007-03-08,2026-08-11,4888,2026-07-25,yahoo-finance-chart-api
VFINX,USD,Nasdaq,MUTUALFUND,1980-01-02,2026-08-10,11746,2026-07-25,yahoo-finance-chart-api
VGIT,USD,NasdaqGM,ETF,2009-11-23,2026-08-11,4203,2026-07-25,yahoo-finance-chart-api
VGK,USD,NYSEArca,ETF,2005-03-10,2026-08-11,5389,2026-07-25,yahoo-finance-chart-api
VGLT,USD,NasdaqGM,ETF,2010-01-04,2026-08-11,4176,2026-07-25,yahoo-finance-chart-api
VGSH,USD,NasdaqGM,ETF,2009-11-23,2026-08-11,4203,2026-07-25,yahoo-finance-chart-api
VGSIX,USD,Nasdaq,MUTUALFUND,1996-05-13,2026-08-10,7609,2026-07-25,yahoo-finance-chart-api
VGT,USD,NYSEArca,ETF,2004-01-30,2026-08-11,5668,2026-07-25,yahoo-finance-chart-api
VGTSX,USD,Nasdaq,MUTUALFUND,1996-04-29,2026-08-10,7619,2026-07-25,yahoo-finance-chart-api
VMBS,USD,NasdaqGM,ETF,2009-11-23,2026-08-11,4203,2026-07-25,yahoo-finance-chart-api
VNQ,USD,NYSEArca,ETF,2004-09-29,2026-08-11,5501,2026-07-25,yahoo-finance-chart-api
VNQI,USD,NasdaqGM,ETF,2010-11-01,2026-08-11,3967,2026-07-25,yahoo-finance-chart-api
VOO,USD,NYSEArca,ETF,2010-09-09,2026-08-11,4004,2026-07-25,yahoo-finance-chart-api
VPL,USD,NYSEArca,ETF,2005-03-10,2026-08-11,5389,2026-07-25,yahoo-finance-chart-api
VT,USD,NYSEArca,ETF,2008-06-26,2026-08-11,4559,2026-07-25,yahoo-finance-chart-api
VTI,USD,NYSEArca,ETF,2001-06-15,2026-08-11,6325,2026-07-25,yahoo-finance-chart-api
VTSMX,USD,Nasdaq,MUTUALFUND,1992-04-27,2026-08-10,8632,2026-07-25,yahoo-finance-chart-api
VTV,USD,NYSEArca,ETF,2004-01-30,2026-08-11,5668,2026-07-25,yahoo-finance-chart-api
VTWO,USD,NasdaqGM,ETF,2010-09-22,2026-08-11,3995,2026-07-25,yahoo-finance-chart-api
VUG,USD,NYSEArca,ETF,2004-01-30,2026-08-11,5668,2026-07-25,yahoo-finance-chart-api
VUTY.AS,EUR,Amsterdam,ETF,2016-02-24,2026-08-11,2676,2026-07-25,yahoo-finance-chart-api
VWCE.MI,EUR,Milan,ETF,2020-01-14,2026-08-11,1671,2026-07-25,yahoo-finance-chart-api
VWEHX,USD,Nasdaq,MUTUALFUND,1980-01-02,2026-08-10,11746,2026-07-25,yahoo-finance-chart-api
VWO,USD,NYSEArca,ETF,2005-03-10,2026-08-11,5389,2026-07-25,yahoo-finance-chart-api
VWOB,USD,NasdaqGM,ETF,2013-06-04,2026-08-11,3317,2026-07-25,yahoo-finance-chart-api
VWRA.L,USD,LSE,ETF,2019-07-23,2026-08-11,1781,2026-07-25,yahoo-finance-chart-api
VXUS,USD,NasdaqGM,ETF,2011-01-28,2026-08-11,3906,2026-07-25,yahoo-finance-chart-api
XD9U.MI,EUR,Milan,ETF,2014-09-22,2026-08-11,2735,2026-07-25,yahoo-finance-chart-api
XG7S.DE,EUR,XETRA,ETF,2013-08-14,2026-08-11,3293,2026-07-25,yahoo-finance-chart-api
XLRE,USD,NYSEArca,ETF,2015-10-08,2026-08-11,2725,2026-07-25,yahoo-finance-chart-api
XMME.MI,EUR,Milan,ETF,2017-10-03,2026-08-11,2245,2026-07-25,yahoo-finance-chart-api
XTLT.TO,CAD,Toronto,ETF,2023-02-13,2026-08-11,877,2026-07-25,yahoo-finance-chart-api
^SPGSCI,USD,SNP,INDEX,1984-01-03,2026-08-11,10734,2026-07-25,yahoo-finance-chart-api
